,wind_speed,wind_direction,visibility,cloud_height,temprature,dew_point,pressure,week_of_year,day_cos,day_sin,month_cos,month_sin,cloud_BKN,cloud_FEW,cloud_NSC,cloud_SCT,weather_BR,weather_DZ,weather_FG,weather_FU,weather_HZ,weather_PO,weather_RA,weather_NSW
0,0,0,2200,50,20,19,1011,11,1.0,0.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1600,50,20,19,1011,11,0.9659258262890684,0.2588190451025207,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,1,0,0,0,0,0,0,0
2,0,0,1000,50,20,19,1012,11,0.9659258262890684,0.2588190451025207,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,1,0,0,0,0,0,0,0
3,0,0,800,50,21,19,1012,11,0.8660254037844387,0.4999999999999999,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,1,0,0,0,0,0
4,0,0,800,50,22,19,1012,11,0.8660254037844387,0.4999999999999999,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,1,0,0,0,0,0
5,4,250,1000,50,22,19,1013,11,0.7071067811865476,0.7071067811865475,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,1,0,0,0,0,0,0,0
6,3,250,1200,50,23,19,1013,11,0.7071067811865476,0.7071067811865475,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,1,0,0,0,0,0,0,0
7,3,260,1500,50,24,19,1014,11,0.5000000000000001,0.8660254037844386,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
8,3,240,2200,50,26,19,1014,11,0.5000000000000001,0.8660254037844386,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
9,3,230,2200,50,28,19,1014,11,0.2588190451025209,0.9659258262890682,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
10,4,260,2500,50,28,18,1014,11,0.2588190451025209,0.9659258262890682,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,1,0,0,0,0
11,5,290,2500,50,29,16,1013,11,6.123233995736766e-17,1.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,0,1,0,0,0
12,6,260,3000,50,30,16,1013,11,6.123233995736766e-17,1.0,6.123233995736766e-17,6.123233995736766e-17,0,0,1,0,0,0,0,0,1,0,0,0
